Instance,Time,Cost,FacilityState,CustomerState
43,0.304,6960.0,1 1 0 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 ,22 21 21 22 12 21 22 12 28 10 8 5 0 28 14 10 28 0 1 12 10 21 22 10 10 22 5 14 14 7 22 5 8 22 5 7 8 22 5 21 14 8 14 10 28 14 0 12 10 7 8 28 14 7 1 22 10 1 14 0 1 10 5 8 12 7 22 14 0 28 
44,0.546,12043.0,1 1 1 1 1 1 1 1 1 1 ,9 5 1 6 1 2 9 3 7 8 7 0 0 3 0 7 4 4 9 7 5 0 4 4 7 5 4 0 1 7 4 8 3 3 2 5 3 1 1 7 0 2 1 0 9 5 1 1 6 7 2 0 8 9 8 2 2 6 6 1 5 7 6 9 9 1 6 6 7 0 3 0 8 7 9 0 5 5 7 5 4 5 7 7 6 8 4 2 2 3 
45,0.367,9628.0,1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 1 1 ,6 19 15 2 9 19 18 9 18 0 0 0 19 0 0 6 16 6 2 6 0 15 16 14 14 19 14 2 19 0 18 19 19 6 10 16 19 0 19 18 10 0 18 9 19 6 2 16 16 6 2 0 19 0 14 19 19 14 16 14 9 19 6 2 0 14 9 15 19 14 10 15 9 19 14 10 2 19 15 10 
46,0.325,7943.0,1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 ,5 20 19 19 19 8 14 19 5 0 5 9 14 7 21 7 5 7 20 19 8 28 0 14 14 28 0 21 7 9 0 9 5 7 5 7 28 8 20 0 28 7 8 28 9 21 19 0 28 20 5 19 19 21 0 0 19 14 5 5 9 28 5 28 21 5 19 7 21 0 
47,0.563,13367.0,1 1 0 1 1 1 1 1 1 1 ,4 7 0 8 3 5 7 9 7 9 3 6 1 6 7 7 9 9 8 9 3 8 6 9 7 9 0 8 7 8 0 6 9 1 9 0 3 7 1 7 0 6 1 7 0 3 7 7 5 7 3 4 1 0 3 7 1 6 1 8 6 7 0 3 7 0 5 7 4 5 0 0 3 7 0 6 3 5 7 7 0 1 0 4 8 3 5 7 8 5 
48,0.424,11065.0,1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 ,2 2 9 0 4 0 12 0 12 2 12 19 11 2 12 0 16 0 12 11 19 2 12 0 18 4 0 0 18 9 0 0 18 11 0 11 18 18 0 11 18 11 2 2 18 11 4 11 16 11 11 11 16 12 12 11 2 11 18 2 2 11 18 4 2 11 19 9 0 11 9 9 2 2 9 16 2 0 9 16 
49,0.376,8682.0,1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 ,3 22 12 27 27 9 12 12 22 22 0 28 0 12 21 3 27 0 12 12 0 22 3 26 3 26 12 7 28 0 26 7 26 21 7 28 3 3 21 22 28 0 27 21 26 22 12 21 7 27 26 3 28 3 28 9 3 27 0 22 9 3 21 0 28 7 22 9 0 27 
50,0.639,8804.0,1 1 1 0 0 1 1 1 1 1 ,1 1 5 9 0 5 8 2 6 6 5 2 6 6 1 2 0 2 8 1 5 7 6 6 5 2 0 5 2 5 0 1 6 2 9 0 8 5 7 5 2 1 7 2 9 2 7 5 7 5 6 7 6 5 5 1 8 5 7 5 1 2 0 9 0 2 8 2 6 1 0 7 6 0 9 1 8 5 7 5 0 7 6 9 9 2 8 5 7 5 5 2 6 6 1 2 0 2 8 0 
51,0.469,8340.0,1 0 0 0 0 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 ,5 19 17 12 14 9 7 9 9 9 17 7 19 8 7 0 7 12 19 8 5 19 12 8 15 17 15 19 8 7 5 19 17 12 14 0 7 9 15 7 5 7 12 8 7 0 7 9 8 8 5 19 15 14 8 5 7 12 15 8 5 7 19 0 15 5 19 19 0 17 5 19 14 19 15 0 7 9 17 0 7 7 19 8 15 0 7 9 15 0 5 19 19 0 17 0 7 9 17 0 
52,0.672,14410.0,1 1 1 1 1 0 1 1 1 1 ,8 3 3 6 6 2 4 9 1 0 6 3 3 6 0 3 6 9 0 2 1 3 3 8 4 4 7 9 9 7 8 2 3 6 6 1 4 3 6 7 8 3 3 8 6 2 4 2 1 7 8 9 3 2 9 0 2 9 4 4 2 1 3 6 3 3 0 1 0 2 7 3 3 6 4 4 7 2 7 7 8 9 3 2 8 6 3 3 2 0 1 9 9 2 9 3 6 0 4 4 
53,0.432,12525.0,1 1 0 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 ,19 3 12 5 9 12 3 11 13 1 19 3 13 1 14 19 3 11 13 9 19 3 11 5 1 5 16 5 0 19 13 3 12 19 9 13 3 12 12 1 19 3 13 19 11 19 11 9 1 14 11 3 12 19 9 19 3 13 19 10 19 0 11 5 9 19 3 11 5 9 5 16 13 19 0 19 3 10 19 14 1 16 14 0 19 19 16 13 10 12 0 16 1 0 0 13 3 12 19 9 
54,0.601,14064.0,1 1 1 1 1 1 1 0 1 1 ,4 0 2 9 2 4 4 6 5 0 4 9 3 9 2 1 6 4 8 0 4 6 2 5 2 1 6 4 8 8 4 6 3 5 6 1 6 4 8 0 4 0 2 9 2 4 4 4 5 0 4 9 2 3 2 4 6 3 8 0 4 9 3 9 2 4 8 1 5 0 4 0 2 3 2 1 6 4 8 8 4 9 3 3 2 1 6 4 8 0 4 0 2 9 2 1 6 4 8 5 
55,0.516,11538.0,1 0 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 ,19 19 8 6 9 19 0 2 6 9 10 2 2 6 10 19 0 2 4 9 4 2 2 6 10 4 2 2 4 8 19 6 8 6 9 19 19 0 8 9 10 2 2 6 10 19 19 0 4 9 19 19 0 5 9 19 19 0 5 9 19 6 6 6 9 19 19 0 4 5 19 8 8 6 10 4 2 2 4 5 4 2 2 6 10 0 2 2 6 10 0 2 2 6 10 19 19 2 8 9 
56,0.589,26011.0,1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 ,19 20 1 15 9 3 8 3 24 25 9 4 0 14 27 2 14 16 16 20 16 16 4 19 17 8 5 0 3 16 4 5 14 3 2 16 14 24 24 0 1 25 8 1 3 22 3 5 22 19 17 14 24 4 17 4 5 5 14 15 17 27 13 25 15 24 5 14 9 15 29 3 2 8 0 15 13 17 3 14 5 25 11 24 20 5 15 2 24 15 9 29 0 27 29 17 20 29 11 3 4 9 19 11 27 19 1 11 13 9 25 1 29 1 29 17 20 8 11 2 0 28 29 13 28 15 14 20 8 2 28 8 13 9 16 4 5 5 14 1 2 17 19 11 11 19 11 8 11 9 8 11 1 22 4 25 0 24 22 17 2 8 1 17 11 0 2 5 29 22 2 14 24 20 25 22 2 14 27 4 3 4 28 22 28 15 29 4 28 29 16 8 1 20 8 22 4 1 27 8 
57,1.087,31340.0,0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 ,19 20 1 8 25 3 8 3 4 25 9 4 8 14 9 11 14 16 16 20 16 16 4 19 17 8 25 22 3 16 4 5 14 3 9 16 14 16 16 17 1 25 8 1 22 22 3 5 22 19 17 19 1 4 17 28 5 9 14 1 17 11 13 25 4 4 5 14 9 5 19 3 19 8 22 9 16 11 3 14 5 25 11 3 20 5 4 3 14 25 9 29 11 8 29 17 20 29 22 3 29 9 19 11 5 19 1 29 13 9 25 1 22 1 29 17 20 19 13 3 25 28 29 13 28 11 16 20 8 16 28 25 14 9 16 28 5 9 22 1 4 17 19 11 11 19 28 8 11 9 8 11 1 22 4 25 5 29 22 17 3 20 19 17 11 13 9 5 29 22 17 14 1 20 25 17 4 14 14 4 3 4 28 22 28 11 29 1 28 29 16 8 28 20 8 22 4 1 14 8 
