Instance,Time,Cost,FacilityState,CustomerState
43,0,7476,0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 ,20 20 20 20 11 2 2 20 2 11 20 11 20 20 2 11 11 2 2 11 11 20 11 29 11 11 29 11 2 20 2 11 11 2 11 2 20 11 11 29 11 11 2 11 11 2 2 11 11 2 20 11 2 2 20 20 11 2 2 11 2 2 11 11 11 20 20 20 20 20 
44,0,13707,1 1 0 1 1 1 0 1 1 0 ,5 3 4 7 1 7 5 3 7 4 8 0 4 3 0 5 5 7 4 7 8 0 4 5 7 5 7 7 4 7 3 7 3 3 4 3 3 4 4 7 0 7 1 0 7 3 1 7 7 0 3 0 8 0 7 3 1 4 1 0 5 7 7 7 1 1 7 5 3 0 3 0 4 7 1 7 3 5 7 5 1 7 7 7 7 5 3 3 1 3 
45,0,10305,1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 ,6 18 6 18 8 18 17 18 17 0 0 0 17 0 0 6 18 6 18 18 18 12 18 17 8 18 17 18 17 0 0 8 17 18 18 6 17 0 0 8 17 0 18 8 17 6 12 6 17 6 0 6 17 18 6 6 18 17 12 17 8 18 6 18 18 17 6 17 17 18 12 6 18 18 6 12 6 17 6 17 
46,0,9935,0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 ,2 2 24 19 7 7 2 7 24 2 24 19 7 24 24 24 7 7 2 19 7 2 2 2 7 2 2 2 7 7 2 7 2 7 24 7 7 2 7 2 7 24 2 24 24 19 7 2 2 7 7 24 7 24 24 7 24 24 7 24 7 2 24 24 2 24 7 24 24 24 
47,0,14039,1 1 0 0 1 1 1 1 1 0 ,0 7 0 5 4 5 7 5 7 7 0 5 4 4 8 1 8 4 7 7 0 7 5 5 7 4 4 4 7 7 0 5 4 4 6 1 5 7 7 7 0 0 0 4 1 6 8 4 7 7 0 4 4 1 5 4 5 7 5 7 0 5 4 6 6 6 6 8 5 5 0 1 5 4 4 5 4 7 7 7 0 0 4 4 8 1 4 7 5 7 
48,0,11947,1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 ,2 13 1 13 2 2 1 18 12 18 9 18 2 2 1 18 2 2 13 18 2 2 13 18 18 2 1 9 18 2 1 0 18 2 13 18 18 2 13 18 18 13 2 9 18 13 2 9 18 13 12 18 18 13 12 18 0 0 18 2 0 0 18 2 18 18 18 12 2 18 18 12 18 0 9 13 2 1 9 13 
49,0,10537,1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 ,0 16 10 27 16 10 27 10 22 16 1 16 10 27 0 0 16 10 16 10 1 16 0 16 0 27 10 22 16 10 16 10 27 10 0 16 10 22 16 1 16 0 16 10 16 10 10 16 0 22 16 22 16 0 22 10 16 16 10 27 10 22 16 0 27 10 27 16 1 27 
50,0,11645,1 1 1 0 0 1 1 1 1 1 ,5 1 0 9 2 5 6 5 6 6 5 6 5 6 1 6 2 2 8 0 5 6 6 6 2 9 2 2 8 5 0 1 5 2 2 0 8 5 0 6 5 1 5 2 2 2 2 9 2 6 5 6 6 5 5 1 8 6 8 5 5 2 0 9 2 5 7 6 6 5 0 2 6 0 2 1 9 5 9 6 0 2 5 2 2 1 8 5 2 6 5 5 5 6 1 6 0 2 8 0 
51,0,10339,0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 ,5 5 19 14 7 10 10 10 9 9 10 10 19 9 7 7 5 9 19 7 5 19 19 7 14 10 10 5 9 7 14 5 19 19 10 5 10 10 9 7 5 10 19 7 7 5 10 19 19 7 5 5 14 14 7 5 19 19 7 7 5 19 19 7 10 5 19 19 7 10 5 5 14 19 7 19 10 10 10 7 5 19 5 7 10 19 5 10 19 7 5 19 19 7 10 19 14 10 10 7 
52,0,17136,1 1 0 1 1 0 1 1 1 1 ,6 3 3 6 6 3 4 3 9 0 6 7 3 6 3 3 4 9 0 4 3 3 7 6 3 4 4 7 0 0 8 4 3 6 6 4 4 3 9 8 8 4 3 6 6 4 4 3 9 8 6 3 3 3 3 0 4 9 4 4 3 6 6 4 1 4 8 1 0 0 4 3 7 6 4 4 4 3 1 9 6 9 4 6 8 1 4 3 4 4 6 6 9 1 3 0 4 9 4 4 
