Instance,Time,Cost,FacilityState,CustomerState
43,0.225,6621,0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 ,20 20 29 20 11 2 2 20 2 29 20 29 20 20 2 11 29 2 2 29 11 20 20 20 20 20 29 11 2 11 2 11 2 2 11 2 20 2 11 2 11 11 2 11 11 2 2 11 11 2 20 11 2 2 2 2 11 29 2 11 2 11 11 29 29 20 20 29 20 29 
44,0.292,11779,1 1 0 1 1 1 0 1 1 0 ,8 3 1 7 7 7 4 3 7 5 8 0 0 3 0 1 4 4 5 7 5 0 4 4 7 5 4 3 0 7 4 8 3 3 3 3 3 5 1 7 0 3 1 0 7 5 1 1 7 7 3 0 8 7 8 0 1 7 1 1 5 7 8 5 7 1 7 7 7 0 3 0 5 7 7 0 5 5 7 5 4 5 7 7 0 4 4 3 1 3 
45,0.216,8923,1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 ,6 18 6 17 8 18 17 18 18 0 0 0 17 0 0 6 18 6 6 6 0 12 6 17 8 18 17 18 17 0 18 8 17 6 6 6 18 0 18 10 18 0 18 18 17 8 12 6 17 6 0 0 17 18 6 17 17 12 12 17 8 18 17 18 0 17 6 17 17 8 12 17 8 18 6 12 0 18 6 17 
46,0.209,7933,0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 ,2 19 19 19 19 7 2 19 24 7 2 2 7 7 24 7 7 7 2 19 24 2 2 7 19 7 2 2 7 19 2 7 2 7 24 7 19 2 19 2 7 7 19 19 2 19 19 2 2 19 24 19 19 24 24 24 24 24 7 24 19 7 24 24 7 7 19 7 24 24 
47,0.306,12837,1 1 0 0 1 1 1 1 1 0 ,4 4 0 8 6 5 7 8 7 7 6 4 1 6 7 7 8 8 8 7 4 8 6 5 7 7 0 5 7 8 1 6 6 6 7 0 5 7 5 7 0 6 1 7 0 5 7 7 5 7 0 4 1 1 5 7 1 6 0 5 6 7 0 5 7 0 6 8 4 5 0 0 5 7 0 6 6 5 7 7 0 1 4 4 6 1 5 7 6 5 
48,0.217,10163,1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 ,2 2 12 0 2 0 12 0 12 2 9 18 13 0 1 18 18 0 1 18 18 2 1 0 18 2 1 0 18 2 1 0 18 13 13 0 18 18 1 0 18 18 2 2 18 18 2 9 18 13 13 9 18 12 12 9 2 12 18 2 0 12 18 1 2 13 18 12 0 13 13 9 0 0 9 13 2 1 9 18 
49,0.22,8261,1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 ,0 22 10 27 27 0 22 10 22 22 1 22 0 27 16 22 27 10 27 16 1 22 0 16 0 27 16 0 16 0 27 10 22 22 0 27 0 16 16 1 27 0 16 16 27 22 1 22 22 27 27 10 22 0 27 10 16 27 10 22 10 10 22 0 22 10 22 16 1 27 
50,0.272,8960,1 1 1 0 0 1 1 1 1 1 ,5 1 0 9 0 5 8 2 8 6 5 2 6 6 1 2 0 2 8 5 5 7 6 6 5 9 8 5 7 5 0 1 7 2 9 0 8 5 7 5 2 1 7 2 9 2 7 5 7 5 6 7 6 5 5 1 8 5 7 5 5 2 0 9 0 2 7 2 8 6 0 7 6 0 9 1 9 5 7 5 0 7 6 9 7 1 8 5 7 5 5 5 6 6 1 9 0 2 8 0 
51,0.248,8984,0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 ,5 19 14 14 10 5 10 10 9 9 5 10 19 9 7 5 7 9 19 7 5 19 19 19 14 10 10 19 9 7 5 19 19 14 10 19 7 10 9 7 5 7 19 19 7 5 7 19 19 7 5 19 14 14 14 5 7 19 7 14 5 7 19 9 10 5 19 19 19 10 5 5 14 19 7 19 7 10 10 7 7 7 19 9 7 5 7 10 19 7 5 19 19 14 10 19 7 10 19 7 
52,0.572,14534,1 1 0 1 1 0 1 1 1 1 ,6 3 3 6 6 4 4 3 9 0 7 9 3 6 3 3 6 9 0 3 6 3 3 8 4 4 7 9 7 7 8 3 3 6 6 6 4 3 6 7 8 3 3 8 6 4 4 7 1 7 6 9 3 1 8 0 6 9 4 4 0 1 3 8 1 3 0 1 0 0 7 3 3 8 4 4 7 7 7 7 8 9 3 3 8 1 3 3 4 4 7 7 9 1 9 0 6 9 4 4 
